City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Tres Arroyos,AR,2022-10-13 06:54:22,-38.3739,-60.2798,39.06,93,11,8.61
178,Marsh Harbour,BS,2022-10-13 06:54:22,26.5412,-77.0636,81.57,77,100,11.79
179,Maarianhamina,AX,2022-10-13 06:54:23,60.0973,19.9348,51.66,87,20,11.5
180,Benguela,AO,2022-10-13 06:54:24,-12.5763,13.4055,77.2,71,12,2.44
181,Upernavik,GL,2022-10-13 06:54:24,72.7868,-56.1549,13.23,70,7,4.68
182,Beatrice,US,2022-10-13 06:54:25,40.2681,-96.747,50.27,53,0,10.36
183,Contai,IN,2022-10-13 06:54:27,21.7786,87.7536,85.41,73,100,7.72
184,Jardim,BR,2022-10-13 06:54:27,-21.4803,-56.1381,66.22,99,84,2.75
185,Ossora,RU,2022-10-13 06:54:28,59.2353,163.0719,33.53,88,100,4.61
186,Maputo,MZ,2022-10-13 06:54:28,-25.9653,32.5892,78.48,78,40,5.01
187,Erzin,TR,2022-10-13 06:54:29,36.9559,36.2,74.8,63,11,3.96
188,Kismayo,SO,2022-10-13 06:55:29,-0.3582,42.5454,81.32,66,39,17.13
189,Pangody,RU,2022-10-13 06:55:30,65.85,74.4859,39.54,77,48,10.83
190,Cidreira,BR,2022-10-13 06:55:31,-30.1811,-50.2056,60.42,95,7,6.51
191,Sisimiut,GL,2022-10-13 06:55:31,66.9395,-53.6735,30.52,83,99,15.59
192,Lompoc,US,2022-10-13 06:55:32,34.6391,-120.4579,65.57,93,100,4.61
193,Puteyets,RU,2022-10-13 06:55:32,65.1716,57.091,42.01,80,99,6.51
194,Tautira,PF,2022-10-13 06:55:33,-17.7333,-149.15,76.15,85,50,16.51
195,Roald,NO,2022-10-13 06:55:33,62.5833,6.1333,51.17,87,75,6.91
196,Svetlaya,RU,2022-10-13 06:55:34,46.5389,138.3297,52.41,67,100,10.49
197,Husavik,IS,2022-10-13 06:55:35,66.0449,-17.3389,35.46,83,98,9.86
198,Sesimbra,PT,2022-10-13 06:55:35,38.4445,-9.1015,62.74,86,52,6.91
199,General Pico,AR,2022-10-13 06:51:14,-35.6566,-63.7568,45.03,57,6,8.95
200,Roebourne,AU,2022-10-13 06:55:36,-20.7833,117.1333,84.47,23,6,10.87
201,Sitka,US,2022-10-13 06:55:36,57.0531,-135.33,56.41,96,100,10.0
