City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Pampierstad,ZA,-27.7832,24.6877,92.32,11,33,23.98,scattered clouds
147,Komsomolskiy,UZ,40.4272,71.7189,74.12,21,0,4.61,clear sky
148,Liling,CN,27.6667,113.5,80.67,26,1,5.3,clear sky
149,Tupaciguara,BR,-18.5922,-48.705,67.62,62,100,5.26,overcast clouds
150,Ust-Tsilma,RU,65.441,52.1498,43.63,84,100,2.95,overcast clouds
151,Saint Anthony,US,45.0205,-93.218,44.26,69,100,18.41,overcast clouds
152,Celestun,MX,20.8667,-90.4,77.18,90,100,9.82,overcast clouds
153,Belyy Yar,RU,53.6039,91.3903,46.85,53,0,2.24,clear sky
154,Hopeman,GB,57.7068,-3.4291,51.15,83,75,5.75,broken clouds
155,Kavieng,PG,-2.5744,150.7967,82.17,75,33,7.16,scattered clouds
156,Adrar,MR,20.5022,-10.0711,78.71,22,100,13.58,overcast clouds
157,Moree,AU,-29.4667,149.85,72.77,42,41,13.73,scattered clouds
158,Diffa,NE,13.3154,12.6113,89.04,35,8,5.82,clear sky
159,Narsaq,GL,60.9167,-46.05,23.22,68,5,8.63,clear sky
160,Suluq,LY,31.6682,20.2521,78.49,38,1,9.22,clear sky
161,Guasdualito,VE,7.2424,-70.7324,75.2,100,100,2.3,overcast clouds
162,Georgetown,MY,5.4112,100.3354,83.89,79,40,2.3,scattered clouds
163,Maceio,BR,-9.6658,-35.7353,72.84,100,75,1.14,mist
164,Bambous Virieux,MU,-20.3428,57.7575,79.05,53,40,12.66,scattered clouds
165,Neyshabur,IR,36.2133,58.7958,75.22,12,0,7.14,clear sky
166,Bethel,US,41.3712,-73.414,62.55,93,0,4.61,clear sky
167,Palmer,US,42.1584,-72.3287,59.86,87,96,5.48,overcast clouds
168,Wuwei,CN,37.9281,102.6414,54.88,36,100,12.91,overcast clouds
169,Nantucket,US,41.2835,-70.0995,62.74,83,20,13.8,few clouds
170,Noumea,NC,-22.2763,166.4572,69.78,75,29,11.3,scattered clouds
171,Salina,US,38.8403,-97.6114,48.33,58,0,6.91,clear sky
172,Laramie,US,41.3114,-105.5911,41.95,74,0,4.61,clear sky
173,Lazaro Cardenas,MX,17.9583,-102.2,78.93,88,97,4.43,overcast clouds
174,Chicama,PE,-7.8447,-79.1469,57.74,89,26,4.65,scattered clouds
175,Vilyuysk,RU,63.7553,121.6247,33.93,99,100,4.88,overcast clouds
176,Izumo,JP,35.3667,132.7667,67.95,68,20,17.27,few clouds
177,Mantamados,GR,39.3117,26.3339,66.25,69,79,7.81,broken clouds
178,Buala,SB,-8.145,159.5921,81.03,72,94,4.81,overcast clouds
179,Tunceli,TR,39.1083,39.5471,70.74,24,99,3.44,overcast clouds
180,New Norfolk,AU,-42.7826,147.0587,60.93,75,100,3.0,moderate rain
181,Norman Wells,CA,65.282,-126.8329,28.44,93,100,18.41,light shower snow
182,Marsa Matruh,EG,31.3525,27.2453,76.26,63,10,10.67,clear sky
183,Bariri,BR,-22.0744,-48.7403,67.95,76,100,4.85,overcast clouds
184,Eluru,IN,16.7,81.1,87.89,63,48,3.29,scattered clouds
185,Forio,IT,40.7342,13.8646,65.43,88,100,11.01,overcast clouds
186,Oistins,BB,13.0667,-59.5333,80.69,83,40,14.97,scattered clouds
187,Torbay,CA,47.6666,-52.7314,46.58,92,20,10.36,few clouds
188,Caucaia,BR,-3.7361,-38.6531,80.55,72,40,14.97,scattered clouds
189,Saint-Augustin,CA,51.226,-58.6502,39.96,90,72,4.34,broken clouds
190,Liverpool,GB,53.4106,-2.9779,48.38,94,20,3.44,fog
191,Tateyama,JP,34.9833,139.8667,62.1,90,100,21.92,light rain
192,Svetlaya,RU,46.5389,138.3297,51.15,70,100,10.04,overcast clouds
193,Iqaluit,CA,63.7506,-68.5145,17.33,78,20,8.99,few clouds
194,Victor Harbor,AU,-35.5667,138.6167,59.0,75,71,3.0,light rain
195,Dakar,SN,14.6937,-17.4441,81.48,81,21,12.48,few clouds
196,Tokur,RU,53.1333,132.9,35.37,84,93,4.09,overcast clouds
197,Najran,SA,17.4924,44.1277,84.85,10,4,10.38,clear sky
198,Sabha,LY,27.0377,14.4283,79.97,23,9,13.31,clear sky
199,Porto Tolle,IT,44.9497,12.3245,66.2,68,4,9.93,clear sky
200,Labuhan,ID,-6.8844,112.2051,85.23,67,100,6.96,light rain
201,Hervey Bay,AU,-25.2986,152.8535,72.01,76,3,8.01,clear sky
202,Bako,ET,5.7833,36.5667,75.88,52,47,4.59,light rain
203,Zhaozhou,CN,45.6833,125.3167,59.61,35,0,4.61,clear sky
204,Ancud,CL,-41.8697,-73.8203,37.63,74,10,1.34,clear sky
205,Miri,MY,4.4148,114.0089,82.96,76,86,16.67,overcast clouds
206,Evensk,RU,61.95,159.2333,22.32,66,100,6.89,overcast clouds
207,Placido De Castro,BR,-10.3353,-67.1856,70.9,91,99,2.04,light rain
208,Nouadhibou,MR,20.931,-17.0347,71.58,68,0,20.71,clear sky
209,Sorland,NO,67.667,12.6934,48.06,72,91,27.0,overcast clouds
210,Ola,RU,59.5833,151.2833,28.15,82,42,0.43,scattered clouds
211,Pangai,TO,-19.8,-174.35,76.44,71,19,3.0,few clouds
212,Cananea,MX,30.95,-110.3,61.54,44,100,4.27,overcast clouds
213,Seoul,KR,37.5683,126.9778,71.17,43,0,4.61,clear sky
214,Manzhouli,CN,49.6,117.4333,55.33,25,1,11.34,clear sky
215,Henties Bay,NA,-22.116,14.2845,63.1,77,95,5.12,overcast clouds
216,Usinsk,RU,65.9939,57.5281,41.94,78,100,11.05,overcast clouds
217,Donetsk,UA,48.0,37.8,54.43,55,89,5.99,overcast clouds
218,Saldanha,ZA,-33.0117,17.9442,63.1,79,100,16.62,overcast clouds
219,Grindavik,IS,63.8424,-22.4338,37.87,87,20,8.05,few clouds
220,Biharamulo,TZ,-2.6319,31.3089,79.72,36,74,6.13,broken clouds
221,Gushi,CN,34.6425,109.5843,63.75,52,100,4.21,overcast clouds
222,San Carlos De Bariloche,AR,-41.1456,-71.3082,32.25,55,40,9.22,scattered clouds
223,Black River,JM,18.0264,-77.8487,76.69,86,75,3.74,broken clouds
224,Velsk,RU,61.0701,42.0983,42.21,82,100,4.14,overcast clouds
225,Sydney,AU,-33.8679,151.2073,66.76,80,100,11.99,overcast clouds
226,Kirakira,SB,-10.4544,161.9205,80.51,77,100,4.36,overcast clouds
227,Bilibino,RU,68.0546,166.4372,3.24,87,100,3.15,overcast clouds
228,Jiangyou,CN,31.7667,104.7167,61.21,76,100,1.32,overcast clouds
229,Port Elizabeth,ZA,-33.918,25.5701,79.11,77,100,8.05,overcast clouds
230,Kongolo,CD,-5.3833,27.0,90.05,37,47,3.78,scattered clouds
231,Benin,BJ,9.5,2.25,74.59,89,94,1.97,overcast clouds
232,Hasaki,JP,35.7333,140.8333,68.22,89,100,13.67,light rain
233,Kaitangata,NZ,-46.2817,169.8464,42.17,87,3,2.66,clear sky
234,Dehloran,IR,32.6941,47.2679,89.65,9,90,4.41,overcast clouds
235,Champua,IN,22.0833,85.6667,81.75,71,71,2.64,broken clouds
236,Bombarral,PT,39.2672,-9.158,65.16,97,87,6.96,overcast clouds
237,Yakhroma,RU,56.3,37.4833,41.65,71,92,8.28,overcast clouds
238,Volot,RU,57.9278,30.7025,44.62,74,12,5.12,few clouds
239,Luderitz,NA,-26.6481,15.1594,65.26,72,8,8.39,clear sky
240,Llanes,ES,43.4198,-4.7549,66.88,77,97,5.46,overcast clouds
